City,Name,Popular Mentions,Score,Reviewers#,Excellent,Very good,Average,Poor,Terrible,Excellent_ratio,VG_ratio,Average_ratio,Poor_ratio,Terrible_ratio,Url,Tripadvisor rank
Seoul,Dongdaemun Gate (Heunginjimun),"['joseon dynasty', 'worth a visit', 'rebuilt']",4.0,462,90,223,131,14,4,0.19480519480519481,0.48268398268398266,0.28354978354978355,0.030303030303030304,0.008658008658008658,https://www.tripadvisor.com//Attraction_Review-g294197-d554533-Reviews-Dongdaemun_Gate_Heunginjimun-Seoul.html,60
Seoul,Baekusaeng Makgeolli,['fun'],5.0,52,52,0,0,0,0,1.0,0.0,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d24184275-Reviews-Baekusaeng_Makgeolli-Seoul.html,61
Seoul,GSM Global Seoul Mates,['empty'],5.0,108,90,18,0,0,0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d13412824-Reviews-GSM_Global_Seoul_Mates-Seoul.html,62
Seoul,YGC KOREA TRAVEL,"['mr kim', 'private tour', 'nami island', 'awesome travel', 'final itinerary', 'ice fishing', 'driver guide', 'customized tour', 'strawberry picking', 'gyeongbok palace', 'petite france', 'day trip', 'nell', 'busan', 'safety', 'itineraries', 'fruitful']",5.0,70,64,6,0,0,0,0.9142857142857143,0.08571428571428572,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d17567335-Reviews-YGC_KOREA_TRAVEL-Seoul.html,68
Seoul,The Real Seoul,['empty'],5.0,89,89,0,0,0,0,1.0,0.0,0.0,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d12997524-Reviews-The_Real_Seoul-Seoul.html,69
Seoul,Kyobo Book Store Gwanghwamun,"['english books', 'great bookstore', 'pens', 'stationary']",4.5,160,104,51,5,0,0,0.65,0.31875,0.03125,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d4211970-Reviews-Kyobo_Book_Store_Gwanghwamun-Seoul.html,81
Seoul,Lavish Spa,"['great massage', 'english speaking staff', 'minute facial', 'body treatment', 'therapist', 'tension', 'release', 'brand']",5.0,71,62,8,1,0,0,0.8732394366197183,0.11267605633802817,0.014084507042253521,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d7376484-Reviews-Lavish_Spa-Seoul.html,82
Seoul,Absolute Seoul Pub Crawl,['empty'],5.0,114,109,1,1,2,1,0.956140350877193,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.008771929824561403,https://www.tripadvisor.com//Attraction_Review-g294197-d12516159-Reviews-Absolute_Seoul_Pub_Crawl-Seoul.html,84
Seoul,Seocho Tourist Information Center,['empty'],5.0,40,39,0,1,0,0,0.975,0.0,0.025,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d9583069-Reviews-Seocho_Tourist_Information_Center-Seoul.html,91
Seoul,Seoul Daehangno,['empty'],4.0,128,49,57,20,2,0,0.3828125,0.4453125,0.15625,0.015625,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d553213-Reviews-Seoul_Daehangno-Seoul.html,92
Seoul,Kyunghee University Seoul Campus,['empty'],4.5,126,67,41,16,1,1,0.5317460317460317,0.3253968253968254,0.12698412698412698,0.007936507936507936,0.007936507936507936,https://www.tripadvisor.com//Attraction_Review-g294197-d3901448-Reviews-Kyunghee_University_Seoul_Campus-Seoul.html,93
Seoul,Seoul Central Mosque,['empty'],4.5,125,68,42,15,0,0,0.544,0.336,0.12,0.0,0.0,https://www.tripadvisor.com//Attraction_Review-g294197-d3901265-Reviews-Seoul_Central_Mosque-Seoul.html,94
Seoul,IFC Mall,"['conrad seoul', 'subway station']",4.0,187,55,84,41,6,1,0.29411764705882354,0.44919786096256686,0.2192513368983957,0.03208556149732621,0.0053475935828877,https://www.tripadvisor.com//Attraction_Review-g294197-d3822061-Reviews-IFC_Mall-Seoul.html,95
